id_cliente,nom_estab,raz_social,codigo_act,id_per_ocu,cve_mun,cve_loc,ageb,ID_tipoEco,latitud,longitud,fecha_alta,,,,,,,,,,,,,,,,,,,,
8320509,ABS PROMOTORA DE MEXICO,ABS PROMOTORA DE MEXICO SA DE CV,115111,1,2,192,8423,1,32.52337876,-114.917782,11/1/2019,,,,,,,,,,,,,,,,,,,,
8838283,ABULONES CULTIVADOS,ABULONES CULTIVADOS S DE RL DE CV,112519,2,1,1,717,1,31.8621572,-116.6267073,11/1/2019,,,,,,,,,,,,,,,,,,,,
6166487,ACUICOLA TRIPLEA,#N/A,112514,3,2,1581,3653,1,32.20725336,-115.1462315,7/1/2010,,,,,,,,,,,,,,,,,,,,
8346295,AGRICOLA DOS MARES,AGRICOLA DOS MARES SC DE RL,115113,4,1,186,9956,1,31.06657818,-116.2098943,11/1/2019,,,,,,,,,,,,,,,,,,,,
9323240,AGRICOLA LAS MONTA�AS,AGRICOLA LAS MONTA�AS SA DE CV,115113,1,2,2900,362A,1,32.3266025,-115.0714433,11/1/2020,,,,,,,,,,,,,,,,,,,,
6166344,AGROMARISMA,AGROMARISMA ,114119,3,1,1,076A,1,31.86168362,-116.6113703,7/1/2010,,,,,,,,,,,,,,,,,,,,
9938978,AGROPROTECCION Y NUTRICION VEGETAL  ,AGRO PROTECCION Y NUTRICION VEGETAL   SA DE CV,115111,1,1,1,083A,1,31.84588663,-116.6083698,11/1/2024,,,,,,,,,,,,,,,,,,,,
10676525,AGROTECH,#N/A,115111,1,2,268,8048,1,32.55249466,-115.1696776,11/1/2024,,,,,,,,,,,,,,,,,,,,
6166273,ALGAS Y EXTRACTOS DEL PACIFICO NORTE AEP,ALGAS Y EXTRACTOS DEL PACIFICO NORTE AEP SA DE CV,114119,2,1,1,795A,1,31.84754081,-116.5897045,12/1/2014,,,,,,,,,,,,,,,,,,,,
10399786,ALGODONERA DE BAJA CALIFORNIA,ALGODONERA DE BAJA CALIFORNIA SA DE CV,115112,5,2,1,4789,1,32.62402719,-115.4594793,11/1/2024,,,,,,,,,,,,,,,,,,,,
11650226,ALMACEN,#N/A,115113,1,6,40,164,1,30.83438791,-116.0639848,11/1/2024,,,,,,,,,,,,,,,,,,,,
6762603,ALMACEN,SCPP PESCADORES NACIONALES DE ABUL�N ,114119,3,1,1,076A,1,31.8578433,-116.6076119,10/1/2016,,,,,,,,,,,,,,,,,,,,
8130649,ALMACEN BAJA PK,BAJA PK SA DE CV,115119,1,1,139,1096,1,31.72472363,-116.5795718,11/1/2019,,,,,,,,,,,,,,,,,,,,
6166311,ALONSO DE LEON LLAMAS,#N/A,114119,1,6,117,893,1,30.87879169,-116.1279958,12/1/2014,,,,,,,,,,,,,,,,,,,,
8345681,APINCANTU,SERGIO MORENO RODRIGUEZ SOCIEDAD DE PRODUCCION RURAL DE RESPONSAVILIDAD LIMITADA,115111,1,1,184,6538,1,31.70491454,-116.642323,11/1/2019,,,,,,,,,,,,,,,,,,,,
8901346,ASOCIACION ARVI,ASOCIACION ARVI ,114119,3,1,1,1043,1,31.87331166,-116.5836237,11/1/2019,,,,,,,,,,,,,,,,,,,,
9045957,ATUNERA PACIFICO NORTE,ATUNERA PACIFICO NORTE SA DE CV,114113,2,1,247,7470,1,31.8848756,-116.6863562,11/1/2019,,,,,,,,,,,,,,,,,,,,
9401810,BAJA AQUA FARMS,BAJA AQUA FARMS SA DE CV,112516,1,1,247,7466,1,31.89404935,-116.7058409,11/1/2023,,,,,,,,,,,,,,,,,,,,
11032940,BAJA BIOTICS,BAJA BIOTICS S DE RL DE CV,115111,1,1,1,083A,1,31.84588663,-116.6083698,11/1/2024,,,,,,,,,,,,,,,,,,,,
9585470,BAJA CONTROL DE PLAGAS,#N/A,115111,1,2,1,4647,1,32.62742835,-115.4522188,11/1/2024,,,,,,,,,,,,,,,,,,,,
7633673,BAJA ORGANIC,BAJA ORGANIC S DE RL DE CV,115119,1,1,139,1096,1,31.72462297,-116.5772848,11/1/2019,,,,,,,,,,,,,,,,,,,,
6726612,BAJA PK,BAJA PK SA,115119,6,1,139,1096,1,31.72484994,-116.5795982,1/1/2016,,,,,,,,,,,,,,,,,,,,
6752874,BAJA REEF AQUACULTURE,BAJA REEF AQUACULTURE S DE RL DE CV,112519,1,1,1,770A,1,31.88732238,-116.5951821,10/1/2016,,,,,,,,,,,,,,,,,,,,
6166503,BA�AGA DEL MAR,BA�AGA DEL MAR S DE RL DE CV,112519,3,6,1,22,1,30.56581055,-115.9443391,12/1/2014,,,,,,,,,,,,,,,,,,,,
8901366,BUZOS Y PESCADORES DE PLAYA SAN RAMON,BUZOS Y PESCADORES DE PLAYA SAN RAMON ,114119,1,1,243,820A,1,31.32271569,-116.2493151,11/1/2019,,,,,,,,,,,,,,,,,,,,
6166471,BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU,BUZOS Y PESCADORES DEL EJIDO CORONEL ESTEBAN CANTU ,114119,5,1,184,6538,1,31.70434,-116.64076,7/1/2010,,,,,,,,,,,,,,,,,,,,
11126552,C A INDUSTRIAL BC,C A INDUSTRIAL BC SA DE CV,115111,1,4,1,3520,1,32.45986234,-116.9765956,11/1/2024,,,,,,,,,,,,,,,,,,,,
6184309,CATURA DE CAMARON,#N/A,114111,1,2,1,7069,1,32.57985045,-115.3754177,12/1/2014,,,,,,,,,,,,,,,,,,,,
10660943,CEMCUI,#N/A,115111,1,2,1,2320,1,32.63309916,-115.4143565,11/1/2024,,,,,,,,,,,,,,,,,,,,
